Arrival Rate	Service Rate	Avg. Delay	Avg. Queue	Server Util	Sim Time
100.000002235	0.426666667	11697.337891	1162955.125000	  1.000000	23367.408203
50.000001118	0.426666667	11484.449219	575634.187500	  1.000000	23235.773438
33.333334078	0.426666667	11576.484375	383958.437500	  1.000000	23305.015625
25.000000559	0.426666667	11652.276367	289605.343750	  0.999998	23557.701172
19.999999702	0.426666667	11477.245117	228402.281250	  0.999995	23325.710938
16.666666004	0.426666667	11581.057617	192280.875000	  0.999999	23663.529297
14.285714225	0.426666667	11353.972656	160873.843750	  0.999999	23241.388672
12.500000279	0.426666667	11265.350586	140046.093750	  0.999997	23302.521484
11.111111589	0.426666667	11520.828125	127262.617188	  0.999995	23810.851562
10.000000596	0.426666667	11184.765625	111893.562500	  0.999994	23333.128906
9.090909756	0.426666667	11216.500977	102519.101562	  0.999991	23623.625000
8.333334037	0.426666667	11033.791016	91601.257812	  0.999991	23216.013672
7.692307974	0.426666667	11229.334961	85554.742188	  0.999997	23488.853516
7.142857112	0.426666667	11249.246094	79802.835938	  0.999990	23805.703125
6.666666402	0.426666667	10792.090820	71737.500000	  0.999998	23068.472656
6.249999558	0.426666667	11043.276367	69276.812500	  0.999995	23791.123047
5.882352364	0.426666667	10680.393555	63124.976562	  0.999999	23236.041016
5.555554875	0.426666667	10825.727539	60119.695312	  0.999995	23445.550781
5.263157135	0.426666667	10972.295898	57418.996094	  0.999962	23628.544922
4.999999180	0.426666667	10703.926758	53761.843750	  0.999999	23546.437500
4.761903897	0.426666667	10620.669922	50483.472656	  1.000000	23272.859375
4.545453646	0.426666667	10638.855469	48208.031250	  0.999999	23389.072266
4.347825163	0.426666667	10707.017578	46468.000000	  0.999958	23674.126953
4.166665725	0.426666667	10262.535156	42706.058594	  0.999982	23010.810547
3.999999046	0.426666667	10446.944336	42105.042969	  0.999993	23568.353516
3.846153106	0.426666667	10382.095703	39348.339844	  0.999995	23222.357422
3.703703148	0.426666667	10440.333984	38832.289062	  1.000000	23726.589844
3.571428176	0.426666667	10164.859375	36537.800781	  0.999999	23259.537109
3.448275607	0.426666667	10158.391602	35434.804688	  0.999974	23473.328125
3.333333201	0.426666667	10053.291992	33800.800781	  0.999991	23165.734375
3.225806427	0.426666667	10418.104492	33391.929688	  0.999998	23796.289062
3.125000070	0.426666667	10207.980469	31892.937500	  0.999997	23541.224609
3.030303184	0.426666667	10006.898438	30140.662109	  0.999946	23314.408203
2.941176697	0.426666667	9866.935547	28980.785156	  0.999951	23180.412109
2.857143149	0.426666667	9943.255859	27913.968750	  0.999989	23158.595703
2.777778127	0.426666667	9802.382812	27619.978516	  0.999994	23362.583984
2.702703103	0.426666667	10178.101562	27360.429688	  0.999992	23921.519531
2.631579393	0.426666667	9674.169922	25878.191406	  0.999969	23495.851562
2.564103050	0.426666667	9665.477539	25149.664062	  0.999976	23501.091797
2.500000522	0.426666667	10060.298828	24919.818359	  0.999998	23935.070312
2.439024943	0.426666667	9796.301758	23863.097656	  0.999992	23577.281250
2.380952962	0.426666667	9597.003906	22824.917969	  0.999956	23300.244141
2.325582001	0.426666667	9547.491211	22269.841797	  0.999954	23439.458984
2.272727901	0.426666667	9700.603516	21816.201172	  0.999974	23526.294922
