Arrival Rate	Service Rate	Avg. Delay	Avg. Queue	Server Util	Sim Time
9.999999851	0.426666667	116.910645	1131.843506	  0.999605	231.747879
8.333333002	0.426666667	 98.475937	868.915771	  0.998461	221.214172
7.142857112	0.426666667	 98.900070	723.263550	  0.999673	214.456573
6.250000140	0.426666667	119.785217	802.549561	  0.999936	277.029327
5.555555795	0.426666667	140.003464	748.209351	  0.998137	292.097107
5.000000298	0.426666667	118.736877	567.408264	  0.999761	238.094009
4.545454878	0.426666667	122.955086	467.442047	  0.998795	229.165314
4.166667018	0.426666667	111.348213	408.994324	  0.999756	233.846786
3.846153987	0.426666667	 96.299583	395.277100	  0.999131	215.094162
3.571428556	0.426666667	108.468048	392.828918	  0.999083	254.156952
3.333333201	0.426666667	 79.686440	286.552399	  0.997114	209.566559
3.124999779	0.426666667	 91.081818	275.742950	  0.999555	214.052948
2.941176182	0.426666667	 88.323387	267.142792	  0.996036	227.514771
2.777777437	0.426666667	 99.952057	331.160248	  0.999257	270.454346
2.631578568	0.426666667	 89.946457	245.198898	  0.998312	214.665939
2.499999590	0.426666667	 82.307831	210.201599	  0.994851	206.048996
2.380951948	0.426666667	 88.574608	225.359879	  0.997823	214.280121
2.272726823	0.426666667	 73.218277	203.457504	  0.997066	223.591736
2.173912582	0.426666667	 76.293503	148.592056	  0.994924	198.965363
2.083332862	0.426666667	 98.726662	212.621185	  0.999358	251.624115
1.999999523	0.426666667	 87.668701	167.053299	  0.999410	213.316635
1.923076553	0.426666667	104.436737	189.497131	  0.999909	241.260406
1.851851574	0.426666667	 81.083961	163.548874	  0.996185	248.069077
1.785714088	0.426666667	 70.589462	124.912682	  0.996574	199.489151
1.724137803	0.426666667	 99.923019	162.583817	  0.996675	247.636932
1.666666600	0.426666667	 81.361496	117.585823	  0.998796	220.301834
1.612903213	0.426666667	 90.571152	151.500626	  0.998567	263.856689
1.562500035	0.426666667	 76.770309	120.037170	  0.999112	225.707443
1.515151592	0.426666667	 68.545731	102.061943	  0.998273	208.602829
1.470588349	0.426666667	 62.214878	109.154655	  0.998496	209.753830
1.428571575	0.426666667	 53.703800	 74.996803	  0.999536	195.962250
1.388889064	0.426666667	 80.632767	116.026917	  0.997987	221.181625
1.351351552	0.426666667	 83.471046	114.560295	  0.998568	230.066895
1.315789697	0.426666667	 76.816711	 99.278496	  0.997606	206.189209
1.282051525	0.426666667	 98.717110	118.838791	  0.998917	278.634003
1.250000261	0.426666667	 69.612350	104.953476	  0.989840	235.816101
1.219512472	0.426666667	103.458702	119.899696	  0.999577	274.428864
1.190476481	0.426666667	 81.754990	 91.415169	  0.985543	241.678589
1.162791001	0.426666667	 78.262878	 92.650108	  0.999358	247.094391
1.136363950	0.426666667	 69.075775	 74.710434	  0.992557	265.344666
1.111111435	0.426666667	 64.596359	 56.545429	  0.996232	211.101501
1.086956854	0.426666667	 66.018074	 65.466019	  0.998617	238.026627
1.063830127	0.426666667	 77.667450	 78.248863	  0.987977	242.387375
1.041667013	0.426666667	 70.331154	 83.701675	  0.999238	225.344971
1.020408516	0.426666667	 80.451569	 68.073380	  0.999059	241.792770
1.000000358	0.426666667	 71.924309	 71.913918	  0.996999	244.652145
0.980392519	0.426666667	 79.504929	 69.106079	  0.982242	249.238571
0.961538827	0.426666667	 66.087265	 61.103783	  0.997197	238.385971
0.943396596	0.426666667	 38.504513	 37.908272	  0.982837	233.744080
0.925926298	0.426666667	 83.158318	 79.182701	  0.981334	228.758057
0.909091283	0.426666667	 42.093597	 42.299160	  0.998640	209.072083
0.892857519	0.426666667	 57.818287	 48.698898	  0.968074	255.377655
0.877193360	0.426666667	 73.363716	 57.742512	  0.987438	258.741455
0.862069345	0.426666667	 81.818382	 74.533104	  0.989226	256.126312
0.847458007	0.426666667	 49.357555	 42.521431	  0.979574	236.984024
0.833333714	0.426666667	 67.245682	 58.249908	  0.998677	250.122192
0.819672512	0.426666667	 36.823677	 34.228542	  0.979638	223.750809
0.806451994	0.426666667	 35.093815	 27.876232	  0.981579	207.985519
0.793651175	0.426666667	 51.504974	 47.032799	  0.977450	240.906784
0.781250381	0.426666667	 66.048965	 54.426292	  0.991346	238.271210
0.769231150	0.426666667	 39.023781	 30.434921	  0.992988	224.428986
0.757576138	0.426666667	 50.800365	 36.218208	  0.979021	255.660889
0.746269036	0.426666667	 62.105515	 43.735737	  0.989344	256.227081
0.735294497	0.426666667	 92.088112	 76.618507	  0.987704	286.957397
0.724638059	0.426666667	 48.384644	 38.540535	  0.981356	241.248947
0.714286091	0.426666667	 22.839849	 19.755270	  0.948075	229.947174
0.704225728	0.426666667	 40.177917	 30.755823	  0.968819	218.682098
0.694444819	0.426666667	 47.422901	 35.736198	  0.998954	245.810715
0.684931880	0.426666667	 28.879583	 20.236029	  0.991607	237.563751
0.675676048	0.426666667	 36.736797	 20.099791	  0.978687	211.356171
0.666667038	0.426666667	 59.426582	 37.282700	  0.981681	258.850037
0.657895106	0.426666667	 23.026985	 11.880816	  0.998999	225.006012
0.649351017	0.426666667	 55.774216	 35.598824	  0.989039	270.919067
0.641026007	0.426666667	 41.743984	 22.720211	  0.987743	239.683884
0.632911757	0.426666667	 43.568703	 27.711094	  0.954276	260.935333
0.625000363	0.426666667	 66.315262	 35.797386	  0.993830	237.978180
0.617284312	0.426666667	 13.112698	  6.365896	  0.996530	221.731277
0.609756457	0.426666667	 41.085445	 29.711618	  0.998197	223.854324
0.602409997	0.426666667	 50.088158	 30.073458	  0.985975	256.456970
0.595238452	0.426666667	 58.738613	 30.109173	  0.985029	255.062057
0.588235649	0.426666667	 21.845501	 15.562615	  0.981466	220.662048
0.581395702	0.426666667	 36.865967	 18.894194	  0.948381	255.596176
0.574712995	0.426666667	 16.474405	  8.284632	  0.962302	213.462036
0.568182168	0.426666667	 18.417919	 10.911633	  0.984748	207.626175
0.561798100	0.426666667	 49.490726	 26.035778	  0.986423	258.603455
0.555555901	0.426666667	 27.853491	 12.529980	  0.997509	242.063477
0.549450894	0.426666667	  7.100814	  3.427990	  0.844600	228.268707
0.543478603	0.426666667	 44.084473	 20.542864	  0.981864	271.161102
0.537634749	0.426666667	 32.833302	 16.467108	  0.981854	251.155853
0.531915232	0.426666667	 25.586357	 12.953275	  0.974482	226.589905
0.526316126	0.426666667	 50.795624	 28.965834	  0.969851	252.965134
0.520833668	0.426666667	 67.310684	 33.062756	  0.962885	266.484741
0.515464251	0.426666667	 46.377884	 26.469120	  0.968076	242.727097
0.510204413	0.426666667	  7.522235	  3.409075	  0.919950	220.653275
0.505050835	0.426666667	 63.166187	 36.353065	  0.988095	293.445404
0.500000328	0.426666667	 11.581992	  5.995821	  0.867332	249.845795
0.495049802	0.426666667	 14.311301	  6.536765	  0.944740	224.432709
0.490196374	0.426666667	 23.257984	 10.830222	  0.950757	242.713333
0.485437188	0.426666667	 10.177292	  4.549941	  0.882756	246.201828
0.480769524	0.426666667	  8.639612	  3.873609	  0.907726	249.143433
0.476190768	0.426666667	  2.693088	  1.041170	  0.692826	258.659882
0.471698404	0.426666667	 47.603111	 26.597389	  0.983893	317.104126
0.467290009	0.426666667	  5.261135	  2.254896	  0.817810	240.912842
0.462963251	0.426666667	  8.153962	  3.730843	  0.854545	240.345459
0.458715883	0.426666667	 49.216278	 25.710028	  0.985646	319.038666
0.454545740	0.426666667	 32.740387	 14.458143	  0.997659	232.182556
0.450450735	0.426666667	  3.143724	  1.373022	  0.822560	228.963715
0.446428855	0.426666667	  9.756308	  4.244251	  0.954406	235.090958
0.442478158	0.426666667	 16.742765	  7.980203	  0.914616	209.803696
0.438596772	0.426666667	 18.388113	  8.478983	  0.995678	246.269379
0.434782888	0.426666667	 34.813305	 18.578135	  0.967516	266.950531
0.431034761	0.426666667	 36.543228	 15.106505	  0.991628	261.513794
0.427350704	0.426666667	  5.999620	  2.545140	  0.797701	249.091248
