Arrival Rate	Service Rate	Avg. Delay	Avg. Queue	Server Util	Sim Time
50.000001118	0.212765966	235.926697	11482.006836	  0.999960	458.174530
25.000000559	0.212765966	262.189728	6252.621094	  0.999796	511.047058
16.666667039	0.212765966	264.721069	4051.340088	  0.999760	495.856171
12.500000279	0.212765966	182.683960	2503.895508	  0.999837	412.812042
10.000000596	0.212765966	210.227478	2074.771484	  0.999986	431.053711
8.333334037	0.212765966	216.871979	1862.169189	  0.999770	468.248901
7.142857873	0.212765966	267.547668	1797.784668	  0.999717	514.232849
6.250000722	0.212765966	225.246231	1394.101440	  0.999952	455.627747
5.555556255	0.212765966	223.553375	1341.957275	  0.999631	510.014160
5.000000671	0.212765966	249.637924	1201.951538	  0.999816	498.304657
4.545455186	0.212765966	205.872284	941.002563	  0.999615	416.946655
4.166667277	0.212765966	230.716934	1028.362793	  0.999716	501.075104
3.846154428	0.212765966	267.951416	999.338684	  0.999283	567.366516
3.571428936	0.212765966	239.654282	884.629517	  0.999959	531.880798
3.333333532	0.212765966	218.574295	703.719604	  0.999575	456.451996
3.125000070	0.212765966	225.150330	747.325684	  0.997052	503.238739
2.941176440	0.212765966	262.129425	765.995972	  0.999255	566.015808
2.777777667	0.212765966	190.277542	563.394592	  0.999323	462.849060
2.631578774	0.212765966	166.358353	422.056213	  0.999045	366.709747
2.499999776	0.212765966	246.172897	594.146851	  0.998656	499.287964
2.380952117	0.212765966	225.699982	532.454773	  0.999182	502.146362
2.272726977	0.212765966	206.240723	467.655487	  0.999775	453.786346
2.173912722	0.212765966	209.907806	484.768280	  0.999245	514.131104
2.083332992	0.212765966	219.143478	495.039398	  0.997504	520.101990
1.999999762	0.212765966	208.915085	452.868103	  0.999317	521.558044
1.923076773	0.212765966	228.830643	425.613190	  0.998566	533.292969
1.851851778	0.212765966	239.005066	444.949707	  0.999846	524.664612
1.785714278	0.212765966	194.789047	361.110870	  0.995778	454.067780
1.724137981	0.212765966	176.827927	309.334564	  0.998164	450.087708
1.666666766	0.212765966	215.188049	335.563049	  0.998647	454.859100
1.612903368	0.212765966	223.236816	351.164795	  0.999394	506.402710
1.562500180	0.212765966	196.845261	334.219940	  0.998642	459.087280
1.515151729	0.212765966	190.381424	307.284607	  0.999957	473.455109
1.470588478	0.212765966	175.285767	296.271576	  0.997065	467.036194
1.428571696	0.212765966	155.745453	233.138260	  0.997119	392.867767
1.388889179	0.212765966	192.485413	241.290237	  0.999008	453.376953
1.351351660	0.212765966	197.590515	292.630585	  0.999951	492.301605
1.315789800	0.212765966	161.188187	216.814575	  0.998182	402.630585
1.282051623	0.212765966	180.708511	227.607956	  0.995280	456.377411
1.250000354	0.212765966	199.933289	228.817734	  0.999147	493.430145
1.219512560	0.212765966	222.848190	267.123688	  0.998554	537.543945
1.190476566	0.212765966	199.123413	223.364517	  0.996344	493.392792
1.162791081	0.212765966	228.017380	266.536194	  0.997046	550.662292
1.136364027	0.212765966	216.895065	250.032623	  0.999355	519.556519
1.111111508	0.212765966	190.666794	220.751831	  0.995552	475.983826
1.086956925	0.212765966	193.763229	205.331207	  0.998622	433.353333
1.063830195	0.212765966	191.362183	220.725159	  0.999149	509.187469
1.041667078	0.212765966	251.533966	257.446503	  0.996899	543.884521
1.020408578	0.212765966	182.185104	170.709885	  0.999529	464.917877
1.000000417	0.212765966	166.336090	151.908279	  0.996775	403.780762
0.980392519	0.212765966	162.262390	166.019028	  0.999691	460.033508
0.961538827	0.212765966	203.176605	195.099350	  0.998557	487.078796
0.943396596	0.212765966	202.120453	189.768265	  0.999977	505.679749
0.925926298	0.212765966	146.795258	139.539856	  0.998366	438.378662
0.909091283	0.212765966	181.536209	158.880829	  0.996820	453.598907
0.892857519	0.212765966	185.677246	172.386002	  0.992003	479.647675
0.877193360	0.212765966	161.425873	138.111282	  0.998284	435.740082
0.862069345	0.212765966	175.784714	139.799988	  0.999111	489.359406
0.847458007	0.212765966	159.865967	140.509109	  0.999005	449.852905
0.833333714	0.212765966	194.207794	177.227615	  0.998153	515.837097
0.819672512	0.212765966	185.829544	145.783463	  0.999306	476.921265
0.806451994	0.212765966	206.209763	171.262009	  0.997514	507.970551
0.793651175	0.212765966	190.156677	149.411636	  0.992439	535.820496
0.781250381	0.212765966	237.363190	195.930664	  0.995363	574.934570
0.769231150	0.212765966	187.127319	147.154633	  0.991291	500.229736
0.757576138	0.212765966	152.095398	107.002571	  0.995420	441.868958
0.746269036	0.212765966	152.710663	103.812111	  0.991108	418.252655
0.735294497	0.212765966	132.558044	 96.402756	  0.994539	418.792969
0.724638059	0.212765966	177.339966	134.964279	  0.998697	497.220703
0.714286091	0.212765966	139.777969	117.072533	  0.999849	485.163727
0.704225728	0.212765966	162.485931	118.816063	  0.998125	474.657440
0.694444819	0.212765966	129.474716	 86.918800	  0.990664	432.050293
0.684931880	0.212765966	225.242889	147.322586	  0.996506	560.508057
0.675676048	0.212765966	105.737541	 93.536720	  0.986872	390.062836
0.666667038	0.212765966	199.300568	133.862259	  0.999421	571.608582
0.657895106	0.212765966	159.987106	 95.696327	  0.997727	521.001587
0.649351017	0.212765966	101.754326	 74.221054	  0.998801	427.097992
0.641026007	0.212765966	203.457092	145.370483	  0.995278	583.187256
0.632911757	0.212765966	184.361404	116.952843	  0.993015	528.435059
0.625000363	0.212765966	140.124496	 80.243423	  0.998762	398.195221
0.617284312	0.212765966	126.990799	 93.162041	  0.993727	433.828156
0.609756457	0.212765966	192.842361	125.701256	  0.999941	548.581238
0.602409997	0.212765966	114.045609	 71.687897	  0.990335	415.502075
0.595238452	0.212765966	185.482086	107.063644	  0.997050	537.869812
0.588235649	0.212765966	118.521774	 65.382225	  0.995032	428.956848
0.581395702	0.212765966	161.493286	 83.517204	  0.999042	465.504395
0.574712995	0.212765966	170.133606	 88.146339	  0.996131	491.083740
0.568182168	0.212765966	124.085670	 69.451927	  0.999858	401.423218
0.561798100	0.212765966	126.112282	 65.582977	  0.979978	417.722351
0.555555901	0.212765966	162.439606	 90.341774	  0.994352	514.486023
0.549450894	0.212765966	125.379944	 70.122833	  0.992440	437.678772
0.543478603	0.212765966	161.496506	 94.810707	  0.997191	490.891937
0.537634749	0.212765966	181.633102	105.732536	  0.997886	584.745483
0.531915232	0.212765966	134.031693	 65.053391	  0.995657	414.441284
0.526316126	0.212765966	160.456177	 73.656349	  0.993412	493.425415
0.520833668	0.212765966	104.925827	 54.213974	  0.993495	443.354828
0.515464251	0.212765966	134.586090	 79.721962	  0.992968	441.241882
0.510204413	0.212765966	122.947830	 56.587433	  0.998144	457.786713
0.505050835	0.212765966	105.051605	 55.651676	  0.974805	393.737305
0.500000328	0.212765966	129.255600	 68.066620	  0.999841	446.141663
0.495049802	0.212765966	130.034927	 67.406029	  0.997890	466.363647
0.490196374	0.212765966	117.918907	 55.625763	  0.998813	404.316895
0.485437188	0.212765966	133.246582	 64.842987	  0.984741	440.666718
0.480769524	0.212765966	141.733231	 70.602913	  0.996593	500.405487
0.476190768	0.212765966	125.710129	 59.846821	  0.997941	434.919037
